record_key,kind,csv_value
Ag_Ag_Babar,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/raw_database_points.json
Ag_Ag_Babar,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/fitting_grid_points.json
Ag_Ag_Ciesielski,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/raw_database_points.json
Ag_Ag_Ciesielski,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/fitting_grid_points.json
Ag_Ag_Ciesielski-Ge,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/raw_database_points.json
Ag_Ag_Ciesielski-Ge,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/fitting_grid_points.json
Ag_Ag_Ciesielski-Ni,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/raw_database_points.json
Ag_Ag_Ciesielski-Ni,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/fitting_grid_points.json
Ag_Ag_Ferrera-298K,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/raw_database_points.json
Ag_Ag_Ferrera-298K,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/fitting_grid_points.json
Ag_Ag_Ferrera-404K,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/raw_database_points.json
Ag_Ag_Ferrera-404K,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/fitting_grid_points.json
Ag_Ag_Ferrera-501K,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/raw_database_points.json
Ag_Ag_Ferrera-501K,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/fitting_grid_points.json
Ag_Ag_Ferrera-600K,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/raw_database_points.json
Ag_Ag_Ferrera-600K,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/fitting_grid_points.json
Ag_Ag_Hagemann,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/raw_database_points.json
Ag_Ag_Hagemann,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/fitting_grid_points.json
Ag_Ag_Jiang,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/raw_database_points.json
Ag_Ag_Jiang,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/fitting_grid_points.json
Ag_Ag_Johnson,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Johnson/raw_database_points.json
Ag_Ag_Johnson,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Johnson/fitting_grid_points.json
Ag_Ag_McPeak,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_McPeak/raw_database_points.json
Ag_Ag_McPeak,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_McPeak/fitting_grid_points.json
Ag_Ag_Rakic-BB,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Rakic-BB/raw_database_points.json
Ag_Ag_Rakic-BB,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Rakic-BB/fitting_grid_points.json
Ag_Ag_Rakic-LD,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Rakic-LD/raw_database_points.json
Ag_Ag_Rakic-LD,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Rakic-LD/fitting_grid_points.json
Ag_Ag_Werner,raw_database_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Werner/raw_database_points.json
Ag_Ag_Werner,fitting_grid_points_json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Werner/fitting_grid_points.json
